B420;680-686;Infections of skin and subcutaneous tissue
B429;;Remainder of B42
B43;710-739;Diseases of the musculoskeletal system and connective tissue
B430;714;Rheumatoid arthritis, except spine
B431;710-713, 715, 716;Other arthropathies
B432;717-719;Other disorders of joints
B433;720.0;Ankylosing spondylitis
B434;720.1-724;"Other dorsopathies;"
B435;725-729;Rheumatism, excluding the back
B436;730;Osteomyelitis, periostitis and other infections involving bone
B437;734-736;Acquired deformities of limbs
B439;;Remainder of B43
B44;740-759;Congenital anomalies
B440;741, 742.3;Spina bifida and hydrocephalus
B441;740, 742.0-742.2, 742.4-742.9;Other deformities of central nervous system
B442;745-747;Congenital anomalies of heart and circulatory system
B443;749;Cleft palate and cleft lip
B444;750, 751;Other deformities of digestive system
B445;752.5;Undescended testicle
B446;754.3;Congenital dislocation of hip
B447;754.0-754.2, 754.4-756;Other congenital anomalies of musculoskeletal system
B449;;Remainder of B44
B45;760-779;Certain conditions originating in the perinatal period
B450;760;Maternal conditions affecting fetus or newborn
B451;761-763;Obstetric complications affecting fetus or newborn
B452;764, 765;Slow fetal growth, fetal malnutrition and immaturity
B453;767;Birth trauma
B454;768-770;Hypoxia, birth asphyxia and other respiratory conditions
B455;773;Haemolytic disease of fetus or newborn
B459;;Remainder of B45
B46;780-799;Signs, symptoms and ill-defined conditions
B460;780.6;Pyrexia of unknown origin
B461;785.0-785.3;Symptoms involving heart
B462;788.0;Renal colic
B463;788.2;Retention of urine
B464;789.0;Abdominal pain
B465;797;Senility without mention of psychosis
B466;798.0;Sudden infant death syndrome
B467;799.1;Respiratory failure
B469;;Remainder of B46
B47;E800-E848;Transport accidents
B470;E800-E807;Railway accidents
B471;E810-E819;Motor vehicle traffic accidents
B472;E826-E829;Other road vehicle accidents
B473;E830-E838;Water transport accidents
B474;E840-E845;Air and space transport accidents
B479;;Remainder of B47
B48;E850-E869;Accidental poisoning
B480;E850-E858;Accidental poisoning by drugs, medicaments and biologicals
B481;E860-E866;Accidental poisoning by other solid and liquid substances
B482;E867-E869;Accidental poisoning by gases and vapours
B49;E870-E879;Misadventures during medical care, abnormal reactions, late complications
B50;E880-E888;Accidental falls
B51;E890-E899;Accidents caused by fire and flames
B52;E900-E929;Other accidents, including late effects
B520;E900-E909;Accidents due to natural and environmental factors
B521;E910;Accidental drowning and submersion
B522;E914, E915;Foreign body accidentally entering orifice
B523;E919, E920;Accidents caused by machinery, and by cutting and piercing instruments
B524;E922;Accidents caused by firearm missile
B529;;Remainder of B52
B53;E930-E949;Drugs, medicaments causing adverse effects in therapeutic use
B54;E950-E959;Suicide and self-inflicted injury
B55;E960-E969;Homicide and injury purposely inflicted by other persons
B56;E970-E999;Other violence
B560;E980-E989;Injury undetermined whether accidentally or purposely inflicted
B561;E990-E999;Injury resulting from operation of war
B569;;Remainder of B56
S47;;All accidental causes  (Only applied for Bahamas 1983 where the data do not contain a breakdown of all accidental causes by B47-B52).
CH17;;CHAPTER XVII ? Injury and Poisoning (Only applied for some countries-years when the data do not contain a breakdown of all external causes by B47-B56).
;140;MN OF LIP
;141;MN OF TONGUE
;1410;MN OF BASE OF TONGUE
;142;MN OF MAJOR SALIVARY GLANDS
;143;MN OF GUM
;144;MN OF FLOOR OF MOUTH
;145;MN OF OTHER AND UNSPECIFIED PARTS OF MOUTH
;146;MN OF OROPHARYNX
;1460;MN OF TONSIL
;147;MN OF NASOPHARYNX
;148;MN OF HYPOPHARYNX
;149;MN OF OTHER AND ILL-DEFINED SITES WITHIN THE LIP ETC.
;1533;MN OF SIGMOID COLON
;1540;MN OF RECTOSIGMOID JUNCTION
;1541;MN OF RECTUM
;1551;MN OF INTRAHEPATIC BILE DUCTS
;1552;MN OF LIVER, NOT SPECIFIED AS PRIMARY OR SECONDARY
;156;MN OF GALLBLADDER AND EXTRAHEPATIC BILE DUCTS
;1560;MN OF GALLBLADDER
;158;MN OF RETROPERITONEUM AND PERITONEUM
;159;MN OF OTHER SITES WITHIN THE DIGESTIVE ORGANS ETC.
;160;MN OF NASAL CAVITIES, MIDDLE EAR AND ACCESSORY SINUSES
;1600;MN OF NASAL CAVITIES
;1602;MN OF MAXILLARY SINUS
;1610;MN OF GLOTTIS
;163;MN OF PLEURA
;164;MN OF THYMUS, HEART AND MEDIASTINUM
;165;MN OF OTHER SITES WITHIN THE RESPIRATORY SYSTEM ETC.
;171;MN OF CONNECTIVE AND OTHER SOFT TISSUE
;175;MN OF MALE BREAST
;179;MN OF UTERUS, PART UNSPECIFIED
;182;MN OF BODY OF UTERUS
;1830;MN OF OVARY
;184;MN OF OTHER AND UNSPECIFIED FEMALE GENITAL ORGANS
;187;MN OF PENIS AND OTHER MALE GENITAL ORGANS
;1877;MN OF SCROTUM
;189;MN OF KIDNEY AND OTHER UNSPECIFIED URINARY ORGANS
;1890;MN OF KIDNEY, EXCEPT PELVIS
;1891;MN OF RENAL PELVIS
;1892;MN OF URETER
;190;MN OF EYE
;192;MN OF OTHER AND UNSPECIFIED PARTS OF NERVOUS SYSTEM
;193;MN OF THYROID GLAND
;194;MN OF OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES
;195;MN OF OTHER AND ILL-DEFINED SITES
;196;SECONDARY AND UNSPECIFIED MN OF LYMPH NODES
;197;SECONDARY MN OF RESPIRATORY AND DIGESTIVE SYSTEM
;198;SECONDARY MN OF OTHER SPECIFIED SITES
;199;MN WITHOUT SPECIFICATION OF SITE
;200;LYMPHOSARCOMA AND RETICULOSARCOMA
;2000;RETICULOSARCOMA
;2001;LYMPHOSARCOMA
;2002;BURKITT'S TUMOUR
;202;OTHER MN OF LYMPHOID AND HISTIOCYTIC TISSUE
;203;MULTIPLE MYELOMA AND IMMUNOPROLIFERATIVE NEOPLASMS
;2030;MULTIPLE MYELOMA
;204;LYMPHOID LEUKAEMIA
;2040;ACUTE LYMPHOID LEUKAEMIA
;205;MYELOID LEUKAEMIA
;2050;ACUTE MYELOID LEUKAEMIA
;206;MONOCYTIC LEUKAEMIA
;207;OTHER SPECIFIED LEUKAEMIA
;208;LEUKAEMIA OF UNSPECIFIED CELL TYPE
;235;NEOPLASM OF UNCERTAIN BEHAVIOUR OF DIGESTIVE ETC. SYSTEMS
;236;NEOPLASM OF UNCERTAIN BEHAVIOUR OF GENITOURINARY ORGANS
;237;NEOPLASM OF UNCERTAIN BEHAVIOUR OF ENDOCRINE GLANDS ETC.
;238;NEOPLASM OF UNCERTAIN BEHAVIOUR OF OTHER SITES ETC.
;239;NEOPLASM OF UNSPECIFIED NATURE
;415+ (415.0, 417);OTHER DISEASES OF PULMONARY CIRCULATION
;416;CHRONIC PULMONARY HEART DISEASE
;420+ (420-426, 428-429);OTHER FORMS OF HEART DISEASES
